Utterance	Intents
goodbye	None, q_Faq
i need help with this service.	q_Chitchat, q_Faq
sounds good	l_General, q_Faq
hello	None, q_Faq
shut your mouth	l_General, q_Faq
be quiet	l_General, q_Faq
stop talking	l_General, q_Faq
that is correct	l_General, q_Faq
forget about it	l_General, q_Faq
i just need a tutor	q_Chitchat, q_Faq
pardon	l_General, q_Faq
sounds great	l_General, q_Faq
shut up	l_General, q_Faq
great	l_General, q_Faq
quiet	l_General, q_Faq
go away	l_General, q_Faq
sorry	l_General, q_Faq
perfect	l_General, q_Faq
not even close	l_General, q_Faq
that is right	l_General, q_Faq
hi	None, q_Faq
yes	l_General, q_Faq
fine	l_General, q_Faq
not at all	l_General, q_Faq
sure	l_General, q_Faq
okay	l_General, q_Faq
right	l_General, q_Faq
ok	l_General, q_Faq
